DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,30.37559289,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,35.551369,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,35.05424,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,35.14035,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,34.821612,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,34.457205,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,14.5352375,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,14.43132175,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,14.06110573,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,13.44250275,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,12.83329716,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZAF,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,26.52410884,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZAF,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,27.22218683,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZAF,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,26.52845277,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ZAF,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,25.02606101,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,38.296929,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,36.36232,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,37.625729,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,38.545185,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,37.880532,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),A9,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.72471691,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),A9,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,21.53907686,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),A9,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,21.44441081,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),A9,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,21.10397712,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),A9,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,20.57780396,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,41.437904,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,41.708097,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,42.868507,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,43.132529,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,42.649321,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,27.169048,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,26.898372,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,26.631898,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,27.969234,A,0,TOTALTAX,1,_Z
